iter	Passed	Remaining
0	1	1866
1	3	1650
2	4	1588
3	6	1575
4	7	1578
5	9	1566
6	11	1574
7	12	1550
8	14	1544
9	15	1556
10	17	1551
11	18	1541
12	20	1537
13	21	1535
14	23	1528
15	24	1532
16	26	1506
17	27	1483
18	28	1479
19	30	1479
20	31	1476
21	33	1473
22	34	1470
23	36	1470
24	37	1471
25	38	1439
26	40	1443
27	41	1423
28	42	1421
29	43	1420
30	45	1416
31	46	1415
32	48	1418
33	49	1415
34	51	1413
35	52	1417
36	54	1415
37	55	1414
38	57	1414
39	58	1410
40	60	1410
41	61	1407
42	63	1408
43	64	1408
44	66	1410
45	68	1412
46	69	1412
47	71	1415
48	73	1417
49	74	1416
50	75	1413
51	77	1411
52	78	1408
53	80	1410
54	81	1408
55	83	1409
56	85	1409
57	86	1407
58	88	1403
59	89	1401
60	91	1401
61	92	1400
62	94	1399
63	95	1398
64	97	1399
65	98	1396
66	100	1395
67	101	1393
68	103	1394
69	105	1396
70	106	1397
71	108	1393
72	109	1385
73	110	1382
74	111	1381
75	113	1377
76	114	1376
77	116	1372
78	117	1369
79	118	1367
80	120	1365
81	121	1365
82	123	1360
83	124	1359
84	126	1358
85	127	1354
86	129	1354
87	130	1350
88	131	1347
89	133	1346
90	134	1345
91	135	1340
92	137	1338
93	138	1335
94	139	1332
95	141	1332
96	142	1328
97	144	1325
98	145	1324
99	147	1323
100	148	1321
101	149	1320
102	151	1317
103	152	1315
104	154	1314
105	155	1312
106	157	1311
107	158	1309
108	160	1308
109	161	1306
110	163	1309
111	165	1310
112	166	1309
113	168	1308
114	169	1305
115	170	1303
116	171	1297
117	173	1295
118	174	1290
119	175	1288
120	176	1285
121	178	1284
122	179	1280
123	181	1279
124	182	1278
125	183	1276
126	185	1273
127	186	1273
128	188	1271
129	189	1270
130	190	1266
131	192	1263
132	193	1263
133	195	1263
134	197	1262
135	198	1261
136	200	1261
137	201	1259
138	202	1257
139	203	1251
140	205	1249
141	206	1247
142	207	1244
143	208	1241
144	210	1241
145	212	1240
146	213	1238
147	214	1236
148	216	1233
149	217	1231
150	218	1227
151	219	1225
152	220	1221
153	221	1219
154	223	1216
155	224	1216
156	226	1216
157	228	1215
158	229	1213
159	231	1213
160	232	1212
161	233	1209
162	235	1207
163	236	1205
164	237	1202
165	239	1200
166	240	1198
167	241	1197
168	243	1195
169	244	1194
170	245	1192
171	247	1190
172	248	1189
173	250	1187
174	251	1184
175	252	1183
176	254	1181
177	255	1180
178	257	1178
179	258	1177
180	259	1175
181	261	1173
182	262	1172
183	264	1172
184	265	1170
185	266	1167
186	268	1166
187	269	1165
188	271	1164
189	272	1161
190	273	1159
191	275	1157
192	276	1157
193	278	1156
194	279	1152
195	280	1150
196	282	1149
197	283	1148
198	285	1147
199	286	1146
200	288	1144
201	289	1143
202	290	1141
203	292	1140
204	293	1138
205	294	1135
206	295	1133
207	297	1133
208	299	1131
209	300	1131
210	302	1131
211	304	1130
212	305	1129
213	307	1127
214	308	1126
215	309	1123
216	310	1121
217	312	1120
218	313	1119
219	315	1118
220	317	1117
221	318	1116
222	320	1115
223	321	1113
224	322	1112
225	324	1110
226	325	1109
227	327	1109
228	329	1108
229	331	1108
230	332	1107
231	334	1107
232	336	1107
233	338	1106
234	339	1106
235	341	1106
236	343	1105
237	344	1104
238	346	1102
239	348	1103
240	351	1107
241	354	1110
242	357	1113
243	359	1114
244	362	1116
245	364	1116
246	366	1117
247	368	1117
248	371	1120
249	373	1121
250	376	1122
251	378	1123
252	380	1123
253	383	1125
254	386	1127
255	388	1129
256	391	1131
257	393	1132
258	396	1133
259	398	1134
260	401	1136
261	404	1138
262	406	1139
263	409	1141
264	411	1141
265	414	1142
266	416	1143
267	419	1144
268	421	1144
269	423	1144
270	425	1144
271	427	1144
272	430	1146
273	432	1146
274	435	1147
275	437	1147
276	439	1147
277	442	1147
278	444	1149
279	447	1150
280	449	1151
281	452	1151
282	454	1151
283	457	1152
284	459	1153
285	462	1154
286	464	1154
287	466	1154
288	469	1154
289	471	1153
290	473	1152
291	474	1151
292	476	1149
293	477	1147
294	479	1145
295	481	1144
296	482	1142
297	484	1140
298	485	1139
299	487	1137
300	489	1135
301	490	1133
302	491	1130
303	493	1129
304	494	1127
305	496	1125
306	497	1123
307	499	1122
308	501	1120
309	502	1119
310	504	1116
311	505	1115
312	507	1113
313	508	1111
314	510	1109
315	512	1108
316	513	1106
317	515	1105
318	516	1103
319	518	1101
320	519	1099
321	521	1098
322	523	1096
323	524	1094
324	526	1092
325	529	1094
326	531	1093
327	533	1092
328	534	1090
329	536	1088
330	537	1087
331	539	1085
332	540	1083
333	542	1082
334	544	1080
335	545	1078
336	547	1077
337	549	1076
338	551	1074
339	552	1072
340	554	1071
341	556	1069
342	557	1068
343	559	1067
344	561	1065
345	562	1063
346	564	1062
347	565	1060
348	567	1058
349	568	1056
350	570	1054
351	572	1053
352	574	1052
353	575	1050
354	577	1048
355	578	1047
356	580	1045
357	581	1043
358	583	1041
359	585	1040
360	586	1038
361	588	1036
362	589	1035
363	591	1033
364	593	1032
365	594	1030
366	596	1028
367	597	1026
368	599	1024
369	601	1023
370	602	1021
371	604	1019
372	605	1017
373	607	1016
374	608	1014
375	610	1013
376	612	1011
377	613	1010
378	615	1008
379	617	1006
380	618	1005
381	620	1003
382	621	1001
383	623	999
384	624	997
385	626	995
386	627	993
387	629	992
388	630	990
389	632	989
390	634	987
391	635	986
392	637	984
393	638	982
394	640	981
395	642	979
396	643	977
397	645	975
398	646	974
399	648	972
400	649	970
401	651	969
402	653	967
403	654	965
404	656	964
405	658	962
406	659	960
407	661	959
408	662	957
409	664	956
410	665	954
411	667	952
412	668	950
413	670	948
414	671	947
415	673	945
416	675	944
417	676	942
418	678	940
419	680	939
420	681	937
421	683	936
422	685	934
423	686	932
424	688	931
425	689	929
426	691	927
427	693	926
428	694	924
429	696	923
430	697	921
431	699	919
432	701	918
433	702	916
434	703	914
435	705	912
436	707	911
437	709	909
438	710	908
439	713	907
440	715	907
441	717	905
442	718	903
443	720	902
444	721	900
445	723	898
446	725	897
447	726	895
448	728	893
449	729	891
450	731	890
451	732	888
452	734	886
453	735	885
454	737	883
455	738	881
456	740	879
457	742	878
458	744	876
459	745	875
460	747	873
461	748	871
462	750	870
463	752	868
464	753	867
465	755	865
466	756	863
467	758	861
468	759	860
469	761	858
470	762	856
471	764	855
472	766	853
473	767	852
474	769	850
475	771	849
476	772	847
477	774	845
478	775	843
479	777	842
480	778	840
481	780	838
482	782	837
483	783	835
484	785	833
485	786	832
486	788	830
487	790	828
488	791	827
489	793	825
490	794	823
491	796	822
492	798	821
493	800	819
494	801	817
495	803	816
496	804	814
497	806	813
498	808	811
499	809	809
500	811	808
501	813	806
502	814	805
503	816	803
504	817	801
505	819	799
506	820	798
507	822	796
508	824	795
509	825	793
510	827	792
511	829	790
512	831	789
513	832	787
514	834	785
515	836	784
516	838	782
517	839	781
518	841	780
519	843	778
520	844	776
521	846	775
522	848	773
523	849	771
524	851	770
525	852	768
526	854	767
527	856	765
528	858	764
529	859	762
530	861	760
531	863	759
532	864	757
533	866	755
534	867	754
535	869	752
536	871	751
537	873	749
538	874	748
539	876	746
540	878	744
541	879	743
542	881	741
543	882	740
544	884	738
545	885	736
546	887	735
547	889	733
548	891	731
549	892	730
550	893	728
551	897	728
552	899	727
553	901	725
554	902	723
555	904	722
556	905	720
557	907	718
558	909	717
559	910	715
560	912	713
561	914	712
562	915	710
563	917	709
564	918	707
565	920	705
566	922	704
567	923	702
568	925	701
569	927	699
570	929	698
571	930	696
572	932	694
573	934	693
574	935	691
575	937	690
576	939	688
577	941	687
578	943	685
579	944	684
580	946	682
581	948	680
582	949	679
583	951	677
584	953	676
585	954	674
586	956	673
587	958	671
588	960	670
589	962	668
590	964	667
591	966	665
592	968	664
593	969	662
594	971	661
595	973	659
596	974	657
597	976	656
598	977	654
599	979	653
600	980	651
601	982	649
602	984	648
603	985	646
604	987	644
605	989	643
606	990	641
607	992	639
608	993	638
609	995	636
610	997	634
611	999	633
612	1000	631
613	1002	630
614	1003	628
615	1005	626
616	1007	625
617	1008	623
618	1010	622
619	1012	620
620	1013	618
621	1015	617
622	1017	615
623	1018	613
624	1020	612
625	1021	610
626	1023	608
627	1025	607
628	1026	605
629	1028	604
630	1030	602
631	1032	600
632	1033	599
633	1035	597
634	1036	595
635	1038	594
636	1039	592
637	1041	590
638	1042	589
639	1044	587
640	1046	586
641	1048	584
642	1050	583
643	1051	581
644	1053	579
645	1054	578
646	1056	576
647	1058	574
648	1060	573
649	1062	571
650	1063	570
651	1065	568
652	1066	566
653	1068	565
654	1069	563
655	1071	561
656	1073	560
657	1074	558
658	1076	557
659	1078	555
660	1080	553
661	1081	552
662	1083	550
663	1086	549
664	1088	548
665	1090	547
666	1092	545
667	1094	543
668	1096	542
669	1097	540
670	1099	538
671	1100	537
672	1102	535
673	1103	533
674	1105	532
675	1107	530
676	1108	528
677	1110	527
678	1111	525
679	1113	523
680	1115	522
681	1116	520
682	1118	519
683	1120	517
684	1121	515
685	1123	514
686	1124	512
687	1126	510
688	1128	509
689	1130	507
690	1131	506
691	1133	504
692	1135	502
693	1137	501
694	1138	499
695	1140	498
696	1142	496
697	1143	494
698	1145	493
699	1147	491
700	1148	490
701	1150	488
702	1152	486
703	1153	485
704	1155	483
705	1156	481
706	1158	480
707	1159	478
708	1161	476
709	1163	475
710	1165	473
711	1166	471
712	1168	470
713	1169	468
714	1171	466
715	1172	465
716	1174	463
717	1175	461
718	1177	460
719	1179	458
720	1180	456
721	1182	455
722	1183	453
723	1185	451
724	1187	450
725	1188	448
726	1190	447
727	1191	445
728	1193	443
729	1195	442
730	1196	440
731	1198	438
732	1199	437
733	1201	435
734	1203	433
735	1204	432
736	1206	430
737	1208	428
738	1209	427
739	1211	425
740	1213	424
741	1214	422
742	1216	420
743	1217	419
744	1219	417
745	1221	416
746	1223	414
747	1225	412
748	1227	411
749	1228	409
750	1229	407
751	1231	406
752	1233	404
753	1234	402
754	1236	401
755	1238	399
756	1239	397
757	1241	396
758	1242	394
759	1244	392
760	1245	391
761	1247	389
762	1249	387
763	1250	386
764	1252	384
765	1253	382
766	1255	381
767	1256	379
768	1258	377
769	1259	376
770	1261	374
771	1262	372
772	1264	371
773	1266	369
774	1268	368
775	1269	366
776	1271	364
777	1273	363
778	1274	361
779	1277	360
780	1279	358
781	1281	357
782	1283	355
783	1284	353
784	1286	352
785	1287	350
786	1289	348
787	1290	347
788	1292	345
789	1294	343
790	1295	342
791	1297	340
792	1298	339
793	1300	337
794	1301	335
795	1303	334
796	1305	332
797	1306	330
798	1308	329
799	1309	327
800	1311	325
801	1313	324
802	1314	322
803	1316	320
804	1317	319
805	1319	317
806	1321	316
807	1323	314
808	1324	312
809	1326	311
810	1327	309
811	1329	307
812	1330	306
813	1332	304
814	1333	302
815	1335	301
816	1337	299
817	1338	297
818	1340	296
819	1342	294
820	1343	293
821	1345	291
822	1347	289
823	1348	288
824	1350	286
825	1352	284
826	1353	283
827	1355	281
828	1357	280
829	1359	278
830	1360	276
831	1362	275
832	1363	273
833	1365	271
834	1366	270
835	1368	268
836	1370	266
837	1371	265
838	1373	263
839	1374	261
840	1376	260
841	1378	258
842	1379	256
843	1381	255
844	1383	253
845	1384	252
846	1386	250
847	1388	248
848	1389	247
849	1391	245
850	1392	243
851	1394	242
852	1396	240
853	1397	238
854	1399	237
855	1401	235
856	1402	234
857	1404	232
858	1405	230
859	1407	229
860	1408	227
861	1410	225
862	1412	224
863	1414	222
864	1416	221
865	1417	219
866	1419	217
867	1420	216
868	1422	214
869	1424	212
870	1425	211
871	1427	209
872	1429	207
873	1431	206
874	1432	204
875	1434	203
876	1435	201
877	1437	199
878	1439	198
879	1440	196
880	1442	194
881	1444	193
882	1446	191
883	1447	189
884	1449	188
885	1451	186
886	1452	185
887	1454	183
888	1455	181
889	1459	180
890	1461	178
891	1463	177
892	1465	175
893	1466	173
894	1468	172
895	1469	170
896	1471	168
897	1473	167
898	1474	165
899	1476	164
900	1477	162
901	1479	160
902	1480	159
903	1482	157
904	1483	155
905	1485	154
906	1487	152
907	1489	150
908	1491	149
909	1492	147
910	1494	146
911	1496	144
912	1498	142
913	1499	141
914	1501	139
915	1503	137
916	1505	136
917	1506	134
918	1508	132
919	1509	131
920	1511	129
921	1512	127
922	1514	126
923	1516	124
924	1517	123
925	1519	121
926	1521	119
927	1522	118
928	1524	116
929	1525	114
930	1527	113
931	1529	111
932	1531	109
933	1533	108
934	1534	106
935	1536	105
936	1538	103
937	1540	101
938	1541	100
939	1543	98
940	1545	96
941	1546	95
942	1548	93
943	1550	91
944	1551	90
945	1553	88
946	1555	87
947	1557	85
948	1558	83
949	1560	82
950	1562	80
951	1564	78
952	1566	77
953	1567	75
954	1569	73
955	1571	72
956	1572	70
957	1574	69
958	1576	67
959	1578	65
960	1579	64
961	1581	62
962	1583	60
963	1584	59
964	1586	57
965	1588	55
966	1589	54
967	1591	52
968	1593	50
969	1594	49
970	1596	47
971	1597	46
972	1599	44
973	1600	42
974	1602	41
975	1603	39
976	1605	37
977	1607	36
978	1608	34
979	1610	32
980	1612	31
981	1613	29
982	1615	27
983	1617	26
984	1618	24
985	1620	23
986	1622	21
987	1624	19
988	1625	18
989	1627	16
990	1627	14
991	1629	13
992	1631	11
993	1632	9
994	1634	8
995	1636	6
996	1637	4
997	1639	3
998	1641	1
999	1642	0
