iter	Passed	Remaining
0	1	168
1	3	158
2	5	163
3	6	151
4	7	146
5	9	148
6	11	150
7	13	150
8	15	151
9	16	152
10	18	151
11	20	149
12	22	149
13	24	147
14	25	145
15	27	142
16	28	141
17	30	138
18	31	135
19	33	133
20	34	130
21	36	127
22	37	125
23	38	122
24	40	120
25	41	117
26	42	115
27	43	112
28	45	110
29	46	108
30	47	106
31	49	104
32	50	102
33	51	100
34	52	97
35	53	95
36	54	93
37	55	90
38	56	88
39	57	86
40	58	84
41	59	82
42	60	80
43	61	78
44	62	76
45	63	75
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	71	65
52	72	64
53	73	62
54	74	61
55	75	59
56	76	57
57	77	56
58	79	54
59	80	53
60	81	52
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	88	43
67	89	42
68	90	40
69	91	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	99	31
76	100	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	116	11
91	117	10
92	118	8
93	119	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
